Name,RA,Dec,Const,Type,DimMax,DimMin,Vis,Brightness,Color,Shape,Structure,HD,*Mag,*Spec,Notes
NGC 6888,20 12.0,+38 21,Cyg,E,20,10,F,1,R,E,F,192163,7.4,WN6,"Crescent nebula, an oval ring"
IC 1318,20 14.3,+39 54,Cyg,E,40,40,F,4,R,Ir,AF,194093,2.20,F8Ib, ,
IC 1318,20 16.4,+41 49,Cyg,E,45,25, ,1,R,Ir,AF,194093,2.20,F8Ib, ,
Sh2-104,20 17.8,+36 44,Cyg,E,7,7, ,2,R,C,AF, , , ,"Cyg OB1"
Sh2-108,20 19.1,+39 21,Cyg,E,60,30, ,2,R,Ir,AF,194093,2.20,F8Ib, ,
IC 1318,20 19.3,+40 44,Cyg,E,40,20, ,2,R,Ir,AF,194093,2.20,F8Ib, ,
Sh2-108,20 23.4,+39 46,Cyg,E,10,5, ,3,R,Ir,AF,194093,2.20,F8Ib, ,
NGC 6914a,20 24.3,+42 18,Cyg,R,6,6, ,1,VB, , , ,9.1,B7, ,
NGC 6914,20 24.7,+42 29,Cyg,R,13,12,vF, , , , , , , ,"Connecte ,with NGC 6914a and 6914b?"
NGC 6914b,20 24.8,+42 23,Cyg,R,4,4, ,1,VB, , , ,8.7,B6, ,
IC 1318,20 26.2,+40 30,Cyg,E,50,30, ,1,R,Ir,AF,194093,2.20,F8Ib,"With cl. NGC 6910"
IC 1318,20 27.9,+40 00,Cyg,E,45,20, ,1,R,Ir,AF,194093,2.20,F8Ib, ,
vdB 133,20 30.7,+36 56,Cyg,R,10,10, ,2,MB, , ,195593,6.19,F5Iab,"[44 Cyg]"
Sh2-112,20 33.9,+45 39,Cyg,E,9,7, ,2,R,C,AF, ,8.8, , ,
Sh2-115,20 34.5,+46 52,Cyg,E,30,20, ,3,R,Ir,AF, , , , ,
NGC 6960,20 45.7,+30 43,Cyg,E,70,6,pB,2,R-B,Ir,F, , , ,"Filamentary neb. at 52 Cyg"
 ,20 48.5,+31 09,Cyg,E,45,30, ,3,R-B,Ir,F, , , ,"Pickering's triangular wisp"
IC 5068,20 50.8,+42 31,Cyg,E,80,30,vF,2,R, , , , , , ,
IC 5070,20 50.8,+44 22,Cyg,E,80,70,F,3,R, , , , , ,"Pelican neb. with IC 5067"
IC 5076,20 55.9,+47 25,Cyg,R,9,6,vF,1,VB, , ,199478,5.69,B8Ia, ,
Ic 1340,20 56.2,+31 04,Cyg,E,25,20, ,3,R-B,Ir,F, , , , ,
NEC 6992,20 56.4,+31 43,Cyg,E,60,8,eF,2,R-B,Ir,F, , , ,"Network nebula"
NGC 6995,20,57.1,+31,13,Cyg,—E,12,F,2,BB,IrF,,
NGC 7000,20,58.8:,+44,20:,Cyg,E,120,100,F1R,IrAF,1995797,5.96,O6V,North,America,nebula
NGC 7023,21,:01.8,+68,12,Cep,R,18,18,eF,1B,IrAF,200775,6.8,BSe,One,of,the,brightest,refl.,nebulae
Sn2-129 21:11.8,+5957,Cep,E,100,65,5,R,IrAF,202214,5.64,BOIT,Cep,OB1
vdB 140,2117.5,+5836,Cep,Rk,16,13,3,VB,203025,6.41,B2IIIe,,
NGC 7076,21 26.3,+62 53,Cep,E,2, ,vF, , ,C, , , , ,"Planetary?"
vdB 142,21 37.1,+57 29,Cep,R,1, , ,3,B, , ,239710,8.8,B3,"Near elephant-trunk shape in IC 1396"
vdB 143,21 37.1,+68 12,Cep,R,8,8, ,2,VB, , ,206135,8.3,A0, ,
IC 1396,21 39.1:,+57 30:,Cep,E,170,140, ,4,R,C,AF,IC 1396, , ,"Cep 0B2"
vdB 145,21 43.7,+48 55,Cyg,R,9, , ,3,MB?, , ,206887,7.4,F2, ,
"NGC 7129,33",21 44.4,+66 10,Cep,R,8,7,pF,1,B, , ,NGC 7129, , , ,
IC 5146,21 53.5,+47 16,Cyg,E,12,12,pB,1,I,E,AF, ,10.0,B1,"Cocoon nebula, with a sparse cluster"
Ced 199,22 11.6,+58 45,Cep,E,13,5, ,3,R, , ,210839,5.04,O6If,"[Cep]"
vdB 152,22 13.6,+70 18,Cep,R,12,6, ,1,B, , , ,8.8,B9.5V, ,
Sh2-132,22 18.7,+56 08,Cep,E,30,20, ,2,R,Ir,F,211853,9.0,Ob,"Cep OB1"
NGC 7380,22 47.6,+58 04,Cep,E,25,30, ,1,R,Ir,F,NGC 7380, , ,"Cep OB1"
Sh2-155,22 56.8,+62 37,Cep,E,50,30, ,2,R,Ir,AF,217086,7.65,05,"Cave nebulae, Cep OB3"
IC 1470,23 05.2,+60 15,Cep,E,15,1,vF,2, ,C,AF, , , ,"Planetary?"
NGC 7538,23 13.5,+61 31,Cep,E,10,5,vF,1,R,E,AF, , , , ,
Sh2-157,23 16.1,+60 02,Cas,E,60,50, ,3,I,Ir,F,219287,8.91,B0Ia,"3' core is Sh2-157; rest Lynds Group 11"
NGC 7635,23 20.7,+61 12,Cas,E,15,8,vF,1,R,Ir,F,220057,6.93,B2IV,"Bubble nebula"
Ced 211,23 43.8,-15 17,Aqr,E,2,1, , , ,Ir,F,222800,6.36v,M7IIIpev+B2,"[R Aqr, symbiotic star]"
vdB 150,23 55.1,+76 37,Cep,R,11, , ,3,VB, , ,210806,8.4,AO, ,
